AgencyName,AgencyID,County,County2,County3,Region
Adams,quincyadams911.org,Adams,,,4
Aurora,aurora.il.us,Kane,,,1
Berwyn,ci.berwyn.il.us,Cook,,,1
Bond,bondcountyil.gov,Bond,,,5
Boone,boonecountysheriff.com,Boone,,,1
Brown,browncoil.org,Brown,,,4
Bureau,buecomm.com,Bureau,,,2
CalComm,calumetparkvillage.org,Cook,,,1
Calumet City,calumetcity.org,Cook,,,1
Carroll,carrollcountyil.gov,Carroll,,,2
Cass,casscomm.com,Cass,,,4
Central Dispatch,budsambulance.net,Cook,,,1
CERCCC,thetownofcicero.com ,Cook,,,1
Champaign,co.champaign.il.us,Champaign,,,3
Chicago,cityofchicago.org,Cook,,,1
Christian-Shelby,christiancountysheriff.com,Christian,Shelby,,4
Clark,marshall-il.com,Clark,,,4
Clay,co.clay.il.us,Clay,,,5
Clinton,clintonco.illinois.gov,Clinton,,,5
Coles-Moultrie,co.coles.il.us,Coles,Moultrie,,4
Cook,cookcountyil.gov,Cook,,,1
Crawford,crawfordcountyil.org,Crawford,,,4
Cumberland,cumberlandco.org,Cumberland,,,4
Deerfield United,deerfield.il.us,Lake,,,1
DeKalb,dekalbcounty.org,DeKalb,,,1
DesPlaines Valley,hickoryhillspd.us,Cook,,,1
DeWitt,dewittcountyill.com,DeWitt,,,3
Douglas,douglascountyil.com,Douglas,,,3
DuPage,dupageco.org,DuPage,,,1
E-COM,ecom911.net,Cook,,,1
Edgar,edgarcountyillinois.gov,Edgar,,,3
Edwards ,edwardscounty911.org,Edwards,,,5
Effingham,co.effingham.il.us,Effingham,,,4
Eisenhower,broadview-il.gov,Cook,,,1
Elgin,cityofelgin.org,Cook,,,1
Evanston,cityofevanston.org,Cook,,,1
Fayette,fayettecountyillinois.gov,Fayette,,,4
Ford,ford.il.us,Ford,,,1
Franklin,franklincountye911.com,Franklin,,,5
Fulton,fultonco.org,Fulton,,,3
Glenview,glenview.il.us,Cook,,,1
Grundy,grundy911.org,Grundy,,,1
Hamilton,hamiltonil.us,Hamilton,,,5
Hancock,hancockcounty-il.gov,Hancock,Henderson,,3
Henry,henrycty.com,Henry,,,2
Iroquois,co.iroquois.il.us,Iroquois,,,1
Jackson,co.jackson.il.us,Jackson,,,6
Jasper,jaspercounty.illinois.gov,Jasper,,,4
Jefferson,jeffil.us,Jefferson,,,5
Jersey,jerseycounty-il.us,Jersey,,,4
JoDaviess,911.jodaviess.il.us,Jo Daviess,,,2
Johnson-Hardin-Pope,co.johnson.il.us,Johnson,Hardin,Pope,6
Kanecomm,co.kane.il.us,Kane,,,1
Kankakee,k3county.net,Kankakee,,,1
Kendall,kencom911.org,Kendall,,,1
Knox,ci.galesburg.il.us,Knox,,,2
Lake,lakecounty911.org,Lake,,,1
Lansing,villageoflansing.org,Cook,,,1
LaSalle,lasallecounty.org,LaSalle,,,1
Lawrence,outlook.com,Lawrence,,,5
Lee,countyoflee.org,Lee,,,2
Logan,logancountyil.gov,Logan,,,3
LTACC,ltacc.org,Cook,,,1
Macon,cirdc.org,Macon,,,3
Macoupin,macoupincountyil.gov,Macoupin,,,4
Madison,co.madison.il.us,Madison,,,4
Marion,marioncounty911illinois.gov,Marion,,,5
Marshall,marshallcountyillinois.com,Marshall,,,2
Mason,masoncountyil.gov,Mason,,,3
Massac,metropolisil.gov,Massac,,,6
MCD,mcde911.org,Cook,,,1
McDonough-Schuyler,911.mcdonough.il.us,McDonough,Schuyler,,3
McHenry,mchenrycountyil.gov,McHenry,,,1
McLean,mcleancountyil.gov,McLean,,,3
Menard,co.menard.il.us,Menard,,,4
Mercer,mercercounty.com,Mercer,,,2
Monroe,monroecountyil.gov,Monroe,,,5
Montgomery,montgomeryco.com,Montgomery,,,4
Naperville,naperville.il.us,DuPage,,,1
Northbrook,northbrook.il.us,Cook,,,1
NWCDS,nwcds.org,Cook,,,1
Oak Forest,oak-forest.org,Cook,,,1
Oak Lawn,olrec.org,Cook,,,1
Ogle,oglecounty.org,Ogle,,,2
Orland,orlandpark.il.us,Cook,,,1
Peoria,peoriagov.org   ,Peoria,,,3
Perry,perrycounty911.com,Perry,,,5
Piatt,piatt.gov,Piatt,,,3
Pike,pikecountyil.org,Pike,,,4
Proviso-Leyden,norcomm911.com,Cook,,,1
Pulaski,co.pulaski.il.us,Pulaski,,,6
Putnam,putnamcountysheriff.com,Putnam,,,2
QuadCom,quadcom911.org,Kane,,,1
Randolph,randolphco.org,Randolph,,,5
Richland,richlandcounty.illinois.gov,Richland,,,5
Rock Island,ricoetsb.org,Rock Island,,,2
Saline-Gallatin,co.saline.il.us,Saline,Gallatin,,6
Sangamon,sangamonil.gov,Sangamon,,,4
Scott,winchesteril.com ,Scott,,,4
Skokie,skokie.org,Cook,,,1
SouthCom,southcomdispatch.com,Cook,,,1
St. Clair,co.st-clair.il.us,St. Clair,,,5
Stark,911starkcountysheriff.com,Stark,,,3
Stephenson,freeportpd.com,Stephenson,,,2
SW Cook,hillside-il.org,Cook,,,1
SWCD,southwestcentral911.org,Cook,,,1
Tazewell,tazewell911.com,Tazewell,,,3
Tinley Park,tinleypark.org,Cook,,,1
Tri-Com,tri-com911.org,Kane,,,1
Union-Alexander,unioncountyil.gov,Union,Alexander,,6
Vermilion,vercounty.org,Vermilion,,,3
Vermilion Valley,livingstoncountyil.gov,Livingston,,,1
Wabash,co.wabash.il.us,Wabash,,,5
Warren,cityofmonmouth.com,Warren,,,2
Washington,washingtonco.illinois.gov,Washington,,,5
Wayne,waynecounty911.org,Wayne,,,5
West Central CC,wccc911.org,Cook,,,1
West Central Joint,jacksonvilleil.com,Morgan,Calhoun,Greene,4
West Suburban,wscdc.org,Cook,,,1
Wheeling-DesPlaines,wheelingil.gov,Cook,,,1
White,co.white.il.us,White,,,5
Whiteside,whiteside.org,Whiteside,,,2
Will,willcounty911.gov,Will,,,1
Williamson,marionpolicedept.com,Williamson,,,6
Wilmette,wilmette.com,Cook,,,1
Winnebago,rockfordil.gov,Winnebago,,,2
Woodford,woodford-county.org,Woodford,,,2
Great Lakes,us.navy.mil,Lake,,,1
James Lovell VA Hospital,va.gov,Lake,,,1
Fort Sheridan Army Reserve Center,us.army.mil,Lake,,,1
